puzzleId,title,identifiers
4108,Elbert's Equation,"HSA-SSE.A.2,HSA-SSE.B.3.a,HSA-REI.B.4.b,HSF-IF.C.8.a"
724,Escalation,"HSA-CED.A.3,HSA-REI.C.6"
1072,The EV Function,"HSF.IF.A.1, HSF.IF.A.2"
3088,An Expanding Circle,HSG-GMD.A.1
2716,Explaining a Number Trick,"HSA-CED.A.1,HSA-CED.A.2,HSA-CED.A.3,HSF-BF.A.1.a"
1612,Filling the Aquarium,"HSA-CED.A.1,HSA-REI.A.1,HSA-REI.B.3,HSF-IF.B.6,HSF-BF.A.1.a"
1912,Finding a Two-Digit Number,"HSA-CED.A.3,HSA-REI.C.6,HSF-BF.A.1.a,HSF-LE.A.2"
1300,Flatland Soldiers,"HSA-REI.C.6,HSG-CO.C.10"
844,Fording the River,"HSA-CED.A.1,HSA-REI.A.1,HSA-REI.B.3,HSF-BF.A.1.a"
964,Four Men and Some Money,"HSA-CED.A.3,HSF-BF.A.1.a,HSF-LE.A.2"
628,The Function Challenge,HSF-BF.A.1.c
1624,Going for the Gold,HSA.REI.C.9
1132,The Great One,"HSA-CED.A.1,HSA-REI.A.1,HSA-REI.B.3,HSF-BF.A.1.a"
1768,Highway Miles,"HSA-CED.A.3,HSA-REI.C.6,HSF-BF.A.1.a,HSF-LE.A.2"
3892,Hiking Mount Hood,"HSF-IF.B.4,HSF-IF.C.7.b,HSF-LE.B.5"
4012,Hole in One!,"8.EE.B.6, HSA.REI.C.6"
3592,Holiday Dance,"HSA-CED.A.3,HSA-REI.C.5,HSA-REI.C.6,HSA-REI.D.11"
1324,How High Is Enough?,"8.G.B.7, HSA.CED.A.3, HSA.REI.C.7"
688,Humphrey's Great Escape,"HSA-CED.A.2,HSA-CED.A.3,HSA-REI.D.10,HSF-IF.B.4,HSF-BF.A.1.a"
2740,Jimmy's Hits,"HSA-CED.A.1,HSA-REI.A.1,HSA-REI.B.3,HSF-BF.A.1.a"
820,Judy and Jen's Garden Problem,"HSG-SRT.C.6,HSG-SRT.C.8"
3364,Letter Jackets,HSA-REI.D.12
1528,Lieutenant Stone's Troops,"HSA-CED.A.2,HSA-CED.A.3,HSF-BF.A.1.a"
3556,Make the Save!,"HSA.REI.A.2, HSA.CED.A.1"
3136,Making Triangles,"HSA-CED.A.1,HSA-CED.A.3,HSA-REI.B.3,HSG-CO.C.10"
3904,Math on the Midway,"HSF-IF.A.3,HSF-BF.A.1.a,HSF-BF.A.2"
2896,Maxwell's Mowing,"HSA.CED.A.1, HSA.REI.B.4.b"
1576,Midpoint Magic,"HSA-REI.A.1,HSG-GPE.B.5,HSG-GPE.B.6,HSG-GPE.B.7"
1228,Milly Miffin's Muffins,"HSA-CED.A.2,HSA-CED.A.3,HSF-BF.A.1.a"
1539,Dilating a Quadrilateral,8.G.A.3
4599,Beach Boys,8.G.A.4
3543,So Many Similar Triangles,8.G.A.4
3495,Integer Triangle Angles,8.G.A.5
3675,Building a Regular Hexagon,8.G.B.7
4683,Leaning Ladder,8.G.B.7
5103,Divided Rectangle,HSA.CED.A.2
2967,Finding a Supplement,HSA.SSE.B.3.a
1215,As Far as the Eye Can See,HSG.C.A.2
