puzzleId,title,identifiers
4591,Horsin' Around,"4.NF.B.3,5.NF.B.4,5.NF.B.6"
5179,Building Barns,"4.NF.B.3.a,5.NF.A.2,5.NF.B.4,5.NF.B.6"
3331,After School Snacks,"4.NF.C.6,6.EE.B.6"
913,Charlene Goes Shopping,"4.NF.C.7,5.NBT.A.3.b,5.NBT.B.7"
16014,Jason's Piggy Bank,"4.OA.A,4.MD.A,5.OA.A.2"
1081,Payment in Kind,"4.OA.A.3,5.OA.A.2"
541,Penguin Fun,"4.OA.A.3,5.OA.A.2"
361,The Chocolate Allergy Revelation,"4.OA.A.3,5.OA.A.2"
925,Five Digits of Fun,"4.OA.B.4,4.NBT.A.1,5.NBT.A.1"
2947,Four Playful Mathematicians,"4.OA.B.4,4.NBT.A.1,5.NBT.A.1"
4027,Mr. Lincoln's Line,"4.OA.B.4,4.OA.C.5,6.SP.B.5"
3391,What Percentage?,"4.OA.B.4,6.RP.A.3.c"
3079,Basketball Bargain,"4.OA.B.4,6.SP.B.5"
985,Birds in Trees,"4.OA.B.4,6.SP.B.5"
2851,Building Bouquets,"4.OA.B.4,6.SP.B.5"
3175,Cicada Circus,"4.OA.B.4,6.SP.B.5"
1321,Cool Cubes,"4.OA.B.4,6.SP.B.5"
3199,Crack the Code,"4.OA.B.4,6.SP.B.5"
3607,Fish in a Barrel,"4.OA.B.4,6.SP.B.5"
3559,In Their Prime,"4.OA.B.4,6.SP.B.5"
733,Jellybean Fractions,"4.OA.B.4,6.SP.B.5"
2779,Monmouth Mountain Bikes,"4.OA.B.4,6.SP.B.5"
3583,Nova Scotia Quilt,"4.OA.B.4,6.SP.B.5"
1597,Peanut Butter and Jelly,"4.OA.B.4,6.SP.B.5"
5287,She Counts Seashells,"4.OA.B.4,6.SP.B.5"
3944,Box of Boxes,"4.OA.B.4,7.G.B.6"
841,Choosy Chooser's Choices,"4.OA.C.5,5.OA.B.3"
4555,Emmy's Action Figures,"4.OA.C.5,5.OA.B.3"
5311,Four Dates,"4.OA.C.5,5.OA.B.3"
697,Georg Tricks the Troll,"4.OA.C.5,5.OA.B.3"
